"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bhutan","BTN","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228600000","265300000","397580000","328380000","613190000","723960000","1051980000","977610000","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","173941850000","179690430000","238944270000","285706860000","","207092900000","257634200000","246632360000","292880140000","336895680000","405600860000","446806410000","543396610000","458678620000","508633200000","457949900000","595516360000","575716370000","671742800000","879797610000","1010507310000","1081927730000","1448278090000","770841540000","615265930000","888677700000","910230610000","1177517940000","1482184560000","1700708090000","2186550150000","1033651810000","1677431720000","2171194840000","1912871970000","2059973580000","2113821770000","2095420680000","1593399300000","1993522735729.7","2367059920000","1937902710000","2409098540000","2641454670000",
"Central Europe and the Baltics","CEB","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15902090000","26818810000","30419990000","37956660000","46398740000","47798880000","42484340000","69450720000","88903730000","162832560000","205709070000","320734310000","485032310000","218530060000","246576030000","279183050000","213609430000","","283142980000","238728950000","198445100000","204760369075.708","285651070000","238046490000","283310410000","305994790000",
"Switzerland","CHE","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","16469560000","20899900000","29858100000","38052230000","43569560000","42730940000","38347160000","38745600000","44081170000","40077370000","84104980000","128648170000","129706030000","140341950000","170935860000","157634580000","189677500000","194138100000","270879230000","284976880000","398102020000","400284680000","575339370000","689199130000","678232020000","792315950000","527355900000","612667140000","727102780000","829098070000","938697660000","1212534300000","1274656700000","880334430000","1064686540000","1229356540000","1089519370000","1233438940000","1540699830000","1495314200000","1519323460000","1403355611192.93","1686497070000","1441160470000","1834453260000","2001602870000",
"Channel Islands","CHI","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159150000","247360000","255080000","454100000","265840000","227350000","184300000","537340000","1479740000","","","","","","","","","","","","","","",
"Chile","CHL","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28138400000","32256800000","44833400000","68050350000","72927720000","65971300000","72046180000","51866170000","68227520000","60400770000","56309720000","49827000000","86525910000","116924270000","136493350000","174418780000","212910230000","131807960000","230732390000","341798880000","270289080000","313325270000","265150080000","233245470000","190352000000","212479793765.003","294675740000","250739560000","203791650000","184549420000",
"China","CHN","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512978770000","447720260000","401852250000","1145454870000","4478866530000","1778784040000","3573152460000","4027840300000","3412108290000","3697376040000","3949143490000","6004947670000","8188019320000","7320738379789.18","8711267220000","6324879760000","8515504380000","12214465600000",
"Cote d'Ivoire","CIV","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","332300000","19530000","62490000","62090000","","1825250000","1293420000","436330000","984230000","1314710000","1650110000","2082660000","2332410000","4155260000","8305170000","7087790000","6124330000","7158120000","6287600000","","11818850000","11710400000","12493030000","12363659088.7213","12485700000","8453312865.34401","8100130000","7331390000",
"Cameroon","CMR","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50500810000","56204320000","101955950000","87716200000","140519920000","208501740000","201295530000","262101260000","202693250000","146745680000","85955450000","103818618591.608","121477230000","103848380000","132040280000","106315200000",
"Comoros","COM","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
