"Date","Google","bing","Yahoo!","YANDEX RU","Baidu","YANDEX","DuckDuckGo","Sogou","Haosou","MSN","Naver","Ecosia","Mail.ru","Daum","Seznam","CocCoc","Qwant","Ask Jeeves","AOL","Norton Safe Search","t-online","Other"
2019-05,86.65,4.67,5.1,0.81,0.62,0.36,0.46,0.49,0.1,0.25,0.14,0,0.06,0.03,0.07,0.03,0.04,0.01,0,0.02,0.02,0.06
2019-06,88.31,5.1,2.79,0.86,0.83,0.39,0.49,0.44,0.09,0.19,0.14,0,0.07,0.02,0.08,0.03,0.04,0.01,0.01,0.02,0.01,0.06
2019-07,88.61,4.98,2.72,0.82,0.74,0.43,0.52,0.37,0.09,0.18,0.12,0.06,0.07,0.02,0.08,0.03,0.04,0.01,0.01,0.02,0.02,0.06
2019-08,88.6,5.06,2.75,0.83,0.68,0.37,0.55,0.29,0.1,0.15,0.12,0.17,0.06,0.02,0.07,0.04,0.04,0.01,0.01,0.02,0.02,0.06
2019-09,88.16,5.15,2.74,0.8,0.64,0.41,0.55,0.55,0.1,0.22,0.12,0.23,0.07,0.02,0.06,0.03,0.05,0.01,0.01,0.02,0.02,0.06
2019-10,87.96,5.26,2.73,0.81,0.57,0.38,0.52,0.84,0.09,0.16,0.1,0.23,0.08,0.02,0.05,0.04,0.05,0.01,0.01,0.02,0.02,0.05
2019-11,88.21,5.2,2.76,0.82,0.56,0.47,0.53,0.57,0.09,0.09,0.11,0.24,0.08,0.02,0.05,0.04,0.05,0.01,0.01,0.02,0.02,0.05
2019-12,87.66,5.37,2.79,0.84,0.73,0.53,0.57,0.66,0.08,0.07,0.12,0.23,0.07,0.02,0.05,0.05,0.05,0.01,0.01,0.03,0.02,0.05
2020-01,87.35,5.53,2.83,0.76,0.7,0.42,0.59,1.04,0.07,0.06,0.08,0.24,0.06,0.02,0.05,0.03,0.06,0.01,0.01,0.03,0.02,0.05
2020-02,87.16,5.57,2.83,0.78,0.85,0.41,0.56,0.96,0.13,0.05,0.1,0.23,0.06,0.02,0.05,0.05,0.05,0.01,0.01,0.03,0.02,0.05
2020-03,86.8,5.87,2.98,0.77,1.01,0.44,0.55,0.6,0.17,0.06,0.14,0.25,0.06,0.03,0.05,0.05,0.05,0.01,0.01,0.03,0.02,0.05
2020-04,86.02,6.25,3.36,0.8,0.83,0.41,0.61,0.6,0.35,0.06,0.11,0.26,0.06,0.02,0.05,0.05,0.05,0.01,0.01,0.03,0.01,0.04
2020-05,87.02,5.78,3.13,0.74,0.83,0.42,0.63,0.54,0.14,0.06,0.13,0.23,0.05,0.02,0.06,0.05,0.04,0.01,0.01,0.03,0.01,0.04
2020-06,86.66,6.08,2.97,0.69,0.73,0.62,0.63,0.7,0.11,0.13,0.13,0.21,0.04,0.03,0.08,0.06,0.04,0.01,0.01,0.03,0.02,0.04
2020-07,86.86,6.43,2.84,0.63,0.68,0.62,0.65,0.41,0.1,0.15,0.09,0.19,0.03,0.04,0.07,0.06,0.04,0.01,0.01,0.03,0.02,0.04
2020-08,86.81,6.52,2.89,0.62,0.66,0.56,0.67,0.43,0.1,0.1,0.12,0.18,0.03,0.06,0.06,0.06,0.04,0.01,0.01,0.03,0.02,0.03
2020-09,87.45,6.41,2.71,0.63,0.66,0.34,0.63,0.34,0.09,0.08,0.13,0.19,0.03,0.07,0.05,0.05,0.05,0.01,0.01,0.02,0.01,0.03
2020-10,88.14,6.18,2.51,0.64,0.59,0.26,0.62,0.27,0.08,0.09,0.09,0.2,0.03,0.05,0.05,0.05,0.06,0.01,0.01,0.02,0.01,0.02
2020-11,87.66,6.34,2.52,0.57,0.61,0.31,0.73,0.44,0.08,0.09,0.11,0.23,0.03,0.06,0.04,0.04,0.06,0.01,0.01,0.02,0.01,0.02
2020-12,85.46,6.75,2.75,0.63,0.6,0.72,0.82,1.37,0.08,0.09,0.16,0.23,0.03,0.08,0.04,0.04,0.06,0.01,0.01,0.02,0.01,0.03
2021-01,85.86,6.84,2.76,0.59,0.55,0.69,0.9,0.94,0.07,0.1,0.12,0.25,0.03,0.06,0.05,0.04,0.06,0.01,0.01,0.02,0.02,0.02
2021-02,86.6,6.7,2.71,0.64,0.54,0.52,0.9,0.6,0.07,0.06,0.09,0.25,0.03,0.06,0.05,0.05,0.06,0.01,0.01,0.02,0.01,0.02
2021-03,87.36,5.95,2.66,0.65,0.61,0.48,0.84,0.67,0.09,0.05,0.1,0.24,0.03,0.06,0.05,0.05,0.06,0.01,0.01,0.02,0.01,0.02
2021-04,87.29,5.54,2.72,0.66,0.66,0.48,0.81,1.07,0.08,0.04,0.1,0.24,0.03,0.04,0.06,0.05,0.05,0.01,0.01,0.02,0.01,0.02
2021-05,87.32,5.53,2.69,0.63,0.6,0.59,0.83,1.05,0.07,0.04,0.1,0.23,0.03,0.04,0.07,0.09,0.05,0.01,0.01,0.02,0.01,0.02
2021-06,87.76,5.56,2.71,0.51,0.63,0.8,0.82,0.42,0.05,0.03,0.09,0.21,0.02,0.04,0.06,0.15,0.05,0.01,0.01,0,0.01,0.05
2021-07,86.73,5.7,2.69,0,0.63,1.58,0.84,1.07,0.05,0,0.1,0.18,0.02,0.06,0.07,0.1,0.04,0.01,0.01,0,0.01,0.09
2021-08,85.94,6.54,2.95,0,0.62,1.44,0.96,0.74,0.06,0,0.11,0.2,0.03,0.05,0.08,0.12,0.05,0.01,0.01,0,0.02,0.09
2021-09,86.64,6.79,2.75,0,0.58,1.1,0.9,0.4,0.11,0,0.09,0.21,0.03,0.04,0.05,0.13,0.06,0.01,0.01,0,0.01,0.09
2021-10,86.03,7.2,2.85,0,0.6,1.23,0.92,0.31,0.15,0,0.09,0.22,0.04,0.04,0.04,0.11,0.06,0.01,0.01,0,0.01,0.09
2021-11,85.64,7.89,2.8,0,0.56,1.15,0.96,0.24,0.05,0,0.09,0.23,0.03,0.04,0.04,0.12,0.06,0.01,0.01,0,0.01,0.1
2021-12,86.19,7.2,2.77,0,0.58,1.38,0.98,0.13,0.06,0,0.1,0.21,0.03,0.04,0.04,0.11,0.06,0.01,0.01,0,0.01,0.1
2022-01,85.55,7.61,2.85,0,0.59,1.43,1.03,0.16,0.05,0,0.09,0.22,0.03,0.04,0.05,0.11,0.07,0.01,0.01,0,0.02,0.1
2022-02,85.47,7.83,2.84,0,0.61,1.38,1.01,0.12,0.05,0,0.09,0.21,0.03,0.03,0.05,0.1,0.06,0.01,0.01,0,0.01,0.1
